applicant_id,gender,age_group,consent_given,traditional_score,monthly_income_inr,debt_to_income_ratio,num_existing_loans,upi_monthly_tx_volume,bnpl_repayment_rate,utility_pay_punctuality,telecom_recharge_regularity,ecommerce_monthly_spend,ecommerce_return_rate,gig_income_stability_index,digital_footprint_consistency,device_change_frequency,mobile_wallet_tx_freq,default_flag
APP_1012,Female,Over_50,True,778.0,19914.66,0.142,1,80,0.86,0.557,0.884,2086.83,0.1,0.745,0.733,2,41,0
APP_1013,Male,Under_25,True,627.0,20882.92,0.112,2,60,0.929,0.497,0.856,4987.35,0.113,0.913,0.895,1,60,0
APP_1014,Male,25_50,True,661.0,20480.51,0.095,0,54,0.485,0.75,0.73,4110.63,0.158,0.466,0.661,0,38,0
APP_1015,Male,25_50,True,563.0,49559.61,0.451,2,85,0.6,0.729,0.854,9150.91,0.085,0.805,0.845,1,53,0
APP_1016,Male,25_50,True,581.0,26803.47,0.197,1,45,0.421,0.596,0.702,3219.9,0.217,0.536,0.877,2,40,0
APP_1017,Female,Over_50,True,658.0,32607.29,0.268,3,38,0.566,0.961,0.956,2247.8,0.092,0.866,0.751,3,39,0
APP_1018,Male,Under_25,True,738.0,62102.38,0.282,2,42,0.719,0.637,0.942,15290.64,0.09,0.681,0.751,2,51,0
APP_1019,Male,25_50,True,629.0,22930.12,0.39,2,66,0.565,0.736,0.65,1368.1,0.092,0.639,0.814,0,33,0
APP_1020,Female,Over_50,True,631.0,30985.43,0.464,1,41,0.719,0.886,0.871,2007.36,0.397,0.754,0.896,0,42,0
APP_1021,Male,25_50,True,617.0,45227.29,0.246,3,17,0.943,0.85,0.854,5596.15,0.026,0.456,0.761,1,31,0
APP_1022,Male,Over_50,True,607.0,15000.0,0.284,1,47,0.837,0.702,0.474,2898.5,0.051,0.179,0.813,0,56,0
APP_1023,Male,Under_25,True,674.0,15000.0,0.232,2,33,0.902,0.427,0.958,4470.85,0.161,0.499,0.92,1,48,0
APP_1024,Male,25_50,True,530.0,44697.39,0.279,2,46,0.971,0.95,0.892,3247.73,0.092,0.813,0.891,1,24,0
APP_1025,Female,25_50,True,752.0,48786.48,0.263,2,40,0.789,0.825,0.807,8210.41,0.04,0.708,0.726,1,54,0
APP_1026,Male,25_50,True,597.0,125308.26,0.355,1,32,0.819,0.58,0.498,25116.58,0.013,0.695,0.878,1,40,0
APP_1027,Female,Over_50,True,708.0,39928.95,0.136,1,42,0.913,0.941,0.773,10212.88,0.155,0.634,0.791,1,31,0
APP_1028,Female,25_50,True,548.0,59387.78,0.163,1,61,0.605,0.955,0.927,13208.05,0.168,0.594,0.949,0,23,0
APP_1029,Male,25_50,True,704.0,32296.57,0.436,3,51,0.908,0.929,0.872,8136.65,0.073,0.547,0.746,2,59,0
APP_1030,Female,Under_25,True,704.0,43405.28,0.329,1,37,0.698,0.706,0.49,7839.74,0.092,0.758,0.596,0,65,0
APP_1031,Male,25_50,True,681.0,98750.73,0.194,2,42,0.798,0.93,0.753,15651.27,0.197,0.394,0.853,2,63,0
APP_1032,Male,25_50,True,570.0,15000.0,0.584,1,44,0.745,0.97,0.495,3070.23,0.137,0.787,0.976,0,83,0
APP_1033,Female,Over_50,False,670.0,46544.76,0.05,2,74,0.63,0.84,0.901,12809.94,0.058,0.361,0.735,1,40,0
APP_1034,Female,25_50,True,555.0,130790.49,0.257,3,55,0.884,0.804,0.98,24550.92,0.212,0.613,0.967,0,27,0
APP_1035,Female,25_50,False,630.0,43011.4,0.243,1,47,0.833,0.926,0.826,8662.42,0.265,0.4,0.937,2,33,0
APP_1036,Male,Under_25,False,732.0,97767.14,0.451,3,97,0.775,0.972,0.671,13149.1,0.013,0.445,0.617,2,32,0
APP_1037,Male,Under_25,True,714.0,24896.26,0.201,1,39,0.639,0.794,0.912,4955.11,0.077,0.85,0.774,3,35,0
APP_1038,Female,Under_25,True,651.0,35623.88,0.242,2,82,0.837,0.904,0.773,7372.04,0.118,0.73,0.971,0,33,0
APP_1039,Male,25_50,True,572.0,37053.38,0.278,0,30,0.739,0.908,0.871,8831.91,0.032,0.547,0.88,1,56,0
APP_1040,Male,Over_50,True,702.0,15000.0,0.115,3,37,0.735,0.902,0.804,2895.66,0.136,0.729,0.823,1,49,0
APP_1041,Female,25_50,True,652.0,18017.4,0.296,2,38,0.496,0.409,0.952,1790.71,0.118,0.9,0.521,1,21,0
APP_1042,Male,25_50,True,464.0,18804.94,0.271,3,36,0.517,0.951,0.747,3676.02,0.147,0.886,0.671,0,37,0
APP_1043,Female,Under_25,True,713.0,59470.74,0.482,0,38,0.808,0.832,0.762,7402.19,0.198,0.537,0.904,0,25,0
APP_1044,Male,Over_50,True,648.0,61285.09,0.685,0,19,0.715,0.75,0.882,4402.18,0.077,0.686,0.781,0,46,0
APP_1045,Female,25_50,True,746.0,44109.12,0.477,0,41,0.443,0.76,0.873,11307.74,0.175,0.792,0.804,1,30,0
APP_1046,Male,Under_25,True,562.0,59543.46,0.226,2,41,0.535,0.842,0.874,3960.71,0.108,0.427,0.924,1,70,0
APP_1047,Female,25_50,True,396.0,32909.29,0.108,3,39,0.82,0.804,0.614,6842.69,0.099,0.292,0.96,1,58,0
APP_1048,Female,25_50,True,672.0,74694.3,0.163,1,71,0.689,0.715,0.817,22193.44,0.246,0.533,0.884,1,52,0
APP_1049,Male,Under_25,True,673.0,36507.5,0.176,0,56,0.951,0.771,0.836,2625.06,0.243,0.744,0.711,2,46,0
APP_1050,Female,25_50,False,515.0,37598.46,0.105,0,14,0.791,0.82,0.816,3949.08,0.092,0.395,0.683,1,42,0
APP_1051,Female,25_50,True,572.0,30965.98,0.453,1,29,0.57,0.512,0.905,7438.06,0.363,0.598,0.722,1,89,0
APP_1052,Female,Under_25,True,850.0,54757.54,0.395,1,43,0.946,0.8,0.539,4064.3,0.115,0.243,0.939,0,61,0
APP_1053,Female,Over_50,True,626.0,28205.74,0.25,1,27,0.728,0.878,0.586,7282.19,0.063,0.87,0.779,1,38,0
APP_1054,Female,25_50,True,708.0,65242.01,0.236,0,38,0.949,0.615,0.905,3266.51,0.222,0.898,0.605,4,37,0
APP_1055,Female,25_50,True,598.0,18411.13,0.361,5,33,0.851,0.852,0.91,5016.79,0.271,0.864,0.831,1,32,0
APP_1056,Male,25_50,True,483.0,18781.92,0.3,2,24,0.568,0.821,0.921,1252.86,0.152,0.831,0.918,0,12,0
APP_1057,Male,25_50,True,636.0,54855.41,0.214,1,19,0.909,0.584,0.722,15386.67,0.122,0.727,0.987,1,31,0
APP_1058,Male,25_50,True,629.0,34436.54,0.219,2,65,0.803,0.896,0.83,9164.87,0.175,0.559,0.719,0,78,0
APP_1059,Male,25_50,False,618.0,27657.86,0.443,1,93,0.758,0.67,0.948,5113.68,0.177,0.588,0.719,0,82,0
APP_1060,Male,Under_25,True,641.0,61947.01,0.154,1,42,0.715,0.767,0.742,15145.25,0.043,0.852,0.855,0,55,0
APP_1061,Male,25_50,True,671.0,25226.32,0.443,2,53,0.79,0.784,0.924,1733.53,0.013,0.907,0.762,1,58,0
APP_1062,Female,25_50,True,638.0,32205.07,0.325,0,46,0.844,0.871,0.703,2698.37,0.147,0.429,0.849,1,32,0
APP_1063,Male,25_50,True,549.0,84081.07,0.566,1,54,0.796,0.83,0.641,11966.57,0.149,0.677,0.822,0,58,0
APP_1064,Male,Under_25,True,689.0,91444.31,0.22,0,51,0.975,0.915,0.866,16859.1,0.111,0.761,0.951,0,77,0
APP_1065,Female,25_50,True,494.0,93287.27,0.104,0,30,0.896,0.794,0.909,24912.7,0.14,0.761,0.805,2,29,0
APP_1066,Male,Under_25,True,486.0,30660.32,0.315,2,32,0.919,0.766,0.721,5692.7,0.159,0.489,0.852,0,49,0
APP_1067,Female,25_50,False,709.0,75994.92,0.136,1,26,0.893,0.866,0.56,16437.8,0.166,0.496,0.974,1,50,0
APP_1068,Male,Under_25,True,691.0,20550.25,0.131,2,23,0.95,0.247,0.899,4520.46,0.077,0.685,0.905,1,31,0
APP_1069,Non-Binary,25_50,True,645.0,21075.33,0.545,3,31,0.597,0.813,0.97,5677.53,0.134,0.193,0.801,1,51,0
APP_1070,Female,25_50,True,538.0,15000.0,0.458,2,79,0.888,0.757,0.233,3662.83,0.097,0.341,0.832,2,17,0
APP_1071,Male,25_50,True,593.0,99083.77,0.251,2,49,0.51,0.799,0.934,29156.15,0.068,0.529,0.972,0,33,0
APP_1072,Male,Under_25,True,629.0,21625.15,0.29,0,51,0.824,0.895,0.791,1189.45,0.06,0.602,0.593,2,40,0
APP_1073,Female,Over_50,True,522.0,33660.5,0.279,3,54,0.974,0.906,0.758,3431.93,0.393,0.423,0.71,1,25,0
APP_1074,Female,Over_50,True,591.0,21032.11,0.363,0,48,0.867,0.659,0.913,5943.91,0.416,0.946,0.735,3,22,0
APP_1075,Female,Over_50,True,702.0,55110.7,0.216,1,77,0.593,0.949,0.911,13670.49,0.238,0.524,0.785,0,42,0
APP_1076,Female,Under_25,True,764.0,28987.49,0.05,1,50,0.886,0.887,0.751,3386.92,0.199,0.555,0.874,0,66,0
APP_1077,Male,25_50,True,616.0,16599.2,0.083,0,43,0.786,0.815,0.87,4872.89,0.125,0.682,0.788,1,71,0
APP_1078,Male,Over_50,True,711.0,47334.63,0.175,1,33,0.891,0.644,0.683,12660.61,0.036,0.583,0.828,1,57,0
APP_1079,Male,25_50,True,497.0,15363.69,0.214,2,48,0.682,0.946,0.892,1016.53,0.12,0.37,0.745,1,32,0
APP_1080,Female,Under_25,True,703.0,21972.71,0.383,0,68,0.885,0.914,0.557,5555.3,0.214,0.496,0.765,1,29,0
APP_1081,Female,Under_25,True,586.0,15000.0,0.483,1,46,0.953,0.905,0.958,3691.83,0.191,0.613,0.847,3,44,0
APP_1082,Male,25_50,True,675.0,15454.03,0.172,4,26,0.884,0.933,0.736,1627.13,0.087,0.673,0.775,1,62,0
APP_1083,Male,Over_50,True,630.0,40421.52,0.269,3,18,0.941,0.884,0.729,8784.07,0.313,0.24,0.962,0,39,0
APP_1084,Male,25_50,True,756.0,15000.0,0.379,2,40,0.958,0.918,0.483,4388.35,0.039,0.551,0.691,1,47,0
APP_1085,Male,25_50,True,580.0,15000.0,0.172,2,31,0.622,0.593,0.638,3284.51,0.445,0.697,0.851,0,86,0
APP_1086,Female,Under_25,True,700.0,36263.92,0.464,4,29,0.818,0.925,0.8,9190.78,0.151,0.636,0.916,0,112,0
APP_1087,Female,25_50,True,628.0,26208.42,0.077,2,56,0.857,0.781,0.939,1961.61,0.141,0.711,0.865,1,69,0
APP_1088,Female,25_50,True,637.0,119997.0,0.246,2,38,0.976,0.58,0.548,27823.07,0.165,0.759,0.816,1,36,0
APP_1089,Male,25_50,True,635.0,109134.67,0.245,1,37,0.953,0.754,0.949,11043.19,0.103,0.877,0.957,0,30,0
APP_1090,Male,25_50,True,582.0,21574.05,0.373,2,89,0.807,0.805,0.828,1466.25,0.035,0.637,0.761,0,25,0
APP_1091,Female,Over_50,True,649.0,50730.5,0.112,1,29,0.791,0.875,0.807,9538.32,0.341,0.733,0.938,0,34,0
APP_1092,Female,Under_25,True,645.0,56929.53,0.466,3,21,0.869,0.907,0.974,13529.46,0.151,0.589,0.762,0,50,0
APP_1093,Female,25_50,False,669.0,25374.82,0.403,4,26,0.932,0.806,0.864,4737.13,0.177,0.593,0.778,0,46,0
APP_1094,Female,25_50,True,657.0,15000.0,0.251,2,37,0.781,0.75,0.772,4243.49,0.061,0.76,0.786,0,28,0
APP_1095,Female,25_50,True,714.0,36048.51,0.218,2,48,0.841,0.655,0.808,8071.86,0.197,0.712,0.775,0,68,0
APP_1096,Female,25_50,True,724.0,32738.03,0.362,0,29,0.771,0.909,0.38,2599.19,0.186,0.372,0.688,0,13,0
APP_1097,Male,25_50,True,566.0,27960.31,0.409,0,35,0.708,0.808,0.496,7930.37,0.348,0.806,0.892,2,56,0
APP_1098,Male,25_50,True,720.0,47353.22,0.43,0,48,0.73,0.594,0.897,4177.6,0.12,0.582,0.852,0,16,0
APP_1099,Male,25_50,True,555.0,23145.65,0.17,3,30,0.738,0.697,0.943,5544.86,0.103,0.369,0.958,1,31,0
APP_1100,Male,Over_50,True,697.0,18193.17,0.149,2,31,0.766,0.473,0.769,1585.28,0.033,0.783,0.836,1,25,0
APP_1101,Female,25_50,True,700.0,38771.85,0.148,2,10,0.707,0.728,0.838,11617.79,0.11,0.448,0.793,0,47,0
APP_1102,Male,Under_25,True,497.0,45779.06,0.446,0,49,0.647,0.555,0.72,6090.76,0.042,0.535,0.874,2,25,0
APP_1103,Female,25_50,True,657.0,17926.1,0.251,4,68,0.94,0.705,0.8,3118.82,0.096,0.527,0.912,0,6,0
APP_1104,Female,25_50,True,613.0,63376.88,0.124,3,61,0.893,0.979,0.697,10565.52,0.059,0.512,0.944,2,43,0
APP_1105,Male,25_50,True,589.0,15000.0,0.384,1,40,0.713,0.87,0.898,1132.11,0.047,0.328,0.608,0,35,0
APP_1106,Male,Over_50,False,758.0,25671.38,0.397,2,60,0.607,0.911,0.664,4454.08,0.188,0.709,0.818,1,38,0
APP_1107,Female,Over_50,True,598.0,31107.21,0.219,2,42,0.634,0.799,0.667,2718.04,0.229,0.349,0.856,1,61,0
APP_1108,Male,25_50,True,585.0,24791.74,0.095,3,52,0.917,0.881,0.488,6210.21,0.016,0.556,0.672,1,69,0
APP_1109,Male,Over_50,True,656.0,25873.22,0.737,0,49,0.815,0.726,0.865,7492.32,0.23,0.764,0.964,1,14,0
APP_1110,Male,Under_25,True,705.0,111596.47,0.236,0,44,0.693,0.869,0.478,28123.94,0.131,0.612,0.799,2,40,0
APP_1111,Male,Under_25,True,639.0,21795.73,0.359,1,79,0.95,0.765,0.613,3438.63,0.278,0.653,0.656,1,36,0
APP_1112,Female,Under_25,True,743.0,157114.96,0.226,5,50,0.496,0.559,0.875,7948.89,0.125,0.749,0.961,0,25,0
APP_1113,Female,Over_50,True,692.0,47205.99,0.152,2,55,0.809,0.617,0.628,2792.75,0.105,0.689,0.737,0,59,0
APP_1114,Female,25_50,True,476.0,38377.75,0.328,0,65,0.971,0.743,0.836,6668.47,0.083,0.777,0.709,0,55,0
APP_1115,Female,Under_25,True,608.0,48326.93,0.119,2,39,0.474,0.873,0.711,10625.73,0.27,0.556,0.792,0,44,0
APP_1116,Female,25_50,True,605.0,165703.72,0.373,3,28,0.767,0.755,0.381,42234.32,0.368,0.578,0.863,0,19,0
APP_1117,Male,25_50,True,688.0,20007.13,0.586,0,36,0.752,0.732,0.695,3999.08,0.232,0.566,0.805,0,106,0
APP_1118,Female,Under_25,True,440.0,18541.18,0.203,2,48,0.933,0.8,0.659,5461.83,0.113,0.695,0.9,1,13,0
APP_1119,Female,Over_50,True,850.0,23088.28,0.187,2,23,0.929,0.805,0.957,4004.53,0.067,0.811,0.766,1,97,0
APP_1120,Female,25_50,True,692.0,37022.68,0.134,2,54,0.599,0.836,0.782,7404.8,0.232,0.625,0.762,2,36,0
APP_1121,Female,25_50,True,662.0,15000.0,0.193,0,37,0.824,0.771,0.71,1612.88,0.159,0.631,0.669,1,52,0
APP_1122,Male,Over_50,True,745.0,36805.54,0.22,8,61,0.805,0.899,0.957,4965.62,0.065,0.606,0.972,1,40,0
APP_1123,Male,25_50,True,837.0,100320.79,0.459,2,24,0.509,0.91,0.914,22149.12,0.06,0.461,0.633,0,37,0
APP_1124,Male,Over_50,True,720.0,39769.06,0.332,1,36,0.671,0.913,0.778,7970.13,0.119,0.529,0.886,0,37,0
APP_1125,Male,25_50,True,726.0,30466.67,0.435,1,26,0.951,0.87,0.459,4338.83,0.353,0.527,0.788,1,34,0
APP_1126,Female,25_50,True,660.0,25061.89,0.196,0,105,0.831,0.576,0.946,1954.71,0.17,0.472,0.745,2,51,0
APP_1127,Female,Under_25,False,639.0,62262.03,0.314,0,49,0.907,0.901,0.701,8446.08,0.07,0.546,0.759,1,50,0
APP_1128,Male,Over_50,True,612.0,22125.82,0.299,0,56,0.722,0.91,0.96,1350.54,0.114,0.446,0.691,0,38,0
APP_1129,Female,25_50,True,584.0,109956.22,0.05,1,45,0.866,0.797,0.704,21462.55,0.235,0.594,0.701,2,24,0
APP_1130,Male,Under_25,True,595.0,115845.87,0.05,1,41,0.74,0.819,0.755,15147.3,0.056,0.578,0.944,1,45,0
APP_1131,Male,Under_25,True,542.0,42363.84,0.05,3,44,0.911,0.913,0.777,6141.15,0.401,0.414,0.601,0,2,0
APP_1132,Male,25_50,True,644.0,36065.46,0.24,0,57,0.842,0.824,0.796,6988.48,0.033,0.579,0.946,1,19,0
APP_1133,Male,25_50,True,515.0,67399.7,0.406,2,42,0.885,0.764,0.93,13164.64,0.252,0.947,0.825,1,19,0
APP_1134,Female,25_50,True,665.0,70044.01,0.145,1,55,0.836,0.936,0.914,13804.68,0.06,0.681,0.882,1,59,0
APP_1135,Male,Over_50,True,647.0,22390.79,0.091,0,39,0.827,0.967,0.661,3871.32,0.25,0.466,0.942,1,55,0
APP_1136,Female,Under_25,True,662.0,26477.93,0.177,2,55,0.657,0.739,0.565,4555.01,0.066,0.636,0.648,1,38,0
APP_1137,Female,25_50,True,608.0,16425.52,0.257,4,30,0.771,0.735,0.929,4193.52,0.044,0.702,0.871,0,23,0
APP_1138,Male,Under_25,True,850.0,46417.83,0.135,2,25,0.625,0.836,0.966,7746.61,0.053,0.555,0.839,1,62,0
APP_1139,Female,Over_50,True,759.0,54175.1,0.104,2,62,0.56,0.642,0.741,9968.63,0.158,0.63,0.86,2,27,0
APP_1140,Female,25_50,True,550.0,16155.97,0.099,1,63,0.913,0.757,0.352,4799.25,0.019,0.92,0.977,1,24,0
APP_1141,Male,25_50,True,669.0,27636.17,0.68,1,42,0.748,0.816,0.777,2632.69,0.082,0.598,0.664,0,35,0
APP_1142,Female,25_50,True,601.0,16181.88,0.082,1,47,0.687,0.946,0.903,3747.81,0.089,0.804,0.841,0,41,0
APP_1143,Male,25_50,True,569.0,21178.04,0.346,1,70,0.906,0.684,0.708,3564.2,0.174,0.634,0.741,0,48,0
APP_1144,Male,25_50,True,543.0,50544.54,0.67,2,35,0.786,0.823,0.486,13022.06,0.126,0.544,0.887,1,45,0
APP_1145,Male,25_50,True,685.0,23386.42,0.447,2,32,0.939,0.791,0.745,3531.54,0.043,0.644,0.673,1,39,0
APP_1146,Female,25_50,True,595.0,30318.23,0.104,2,41,0.646,0.607,0.679,3812.44,0.07,0.542,0.794,2,101,0
APP_1147,Female,25_50,True,727.0,15000.0,0.579,4,42,0.806,0.704,0.717,1529.2,0.054,0.753,0.939,0,46,0
APP_1148,Male,25_50,True,730.0,40627.24,0.085,1,37,0.816,0.913,0.883,10890.51,0.063,0.695,0.625,2,30,0
APP_1149,Male,25_50,True,760.0,35363.52,0.174,3,43,0.614,0.938,0.766,8118.83,0.044,0.722,0.697,1,20,0
APP_1150,Female,25_50,True,582.0,23449.97,0.22,4,60,0.859,0.642,0.828,1623.33,0.219,0.497,0.946,1,78,0
APP_1151,Male,Under_25,True,688.0,32421.97,0.112,2,39,0.817,0.667,0.496,7404.29,0.278,0.473,0.804,2,43,0
APP_1152,Male,25_50,True,701.0,40464.36,0.291,1,26,0.841,0.918,0.734,2377.44,0.059,0.564,0.801,2,43,0
APP_1153,Male,25_50,True,612.0,22271.86,0.148,2,63,0.917,0.792,0.627,2124.88,0.051,0.437,0.804,1,46,0
APP_1154,Non-Binary,Under_25,True,588.0,15000.0,0.667,1,57,0.915,0.742,0.8,2972.99,0.12,0.733,0.683,0,66,0
APP_1155,Male,Under_25,True,779.0,107295.79,0.208,2,64,0.619,0.564,0.709,17797.97,0.06,0.6,0.51,1,58,0
APP_1156,Female,Under_25,True,668.0,24835.67,0.403,3,44,0.503,0.668,0.364,6460.28,0.038,0.539,0.845,0,62,0
APP_1157,Female,25_50,True,701.0,34267.2,0.578,0,24,0.79,0.69,0.807,6921.04,0.169,0.664,0.435,0,41,0
APP_1158,Male,25_50,False,584.0,66602.93,0.351,2,52,0.838,0.947,0.854,19397.68,0.308,0.709,0.713,0,29,0
APP_1159,Female,25_50,True,552.0,301773.83,0.659,4,36,0.793,0.845,0.654,50000.0,0.041,0.857,0.926,0,41,0
APP_1160,Male,25_50,True,604.0,17211.07,0.437,1,28,0.623,0.813,0.868,2324.42,0.089,0.502,0.596,3,47,0
APP_1161,Female,25_50,True,640.0,47567.09,0.319,2,30,0.919,0.895,0.554,12297.89,0.26,0.783,0.767,1,27,0
APP_1162,Female,25_50,True,565.0,23753.11,0.231,1,38,0.807,0.869,0.523,6353.57,0.073,0.494,0.722,1,36,0
APP_1163,Female,25_50,True,649.0,26284.27,0.07,6,46,0.852,0.945,0.757,7686.34,0.044,0.393,0.561,0,44,0
APP_1164,Male,25_50,True,515.0,23573.37,0.244,0,63,0.644,0.802,0.598,1252.71,0.151,0.914,0.876,2,29,0
APP_1165,Female,Over_50,True,560.0,18483.01,0.131,1,29,0.523,0.894,0.661,4966.13,0.043,0.549,0.871,0,62,0
APP_1166,Male,25_50,True,704.0,35426.85,0.498,2,48,0.646,0.84,0.937,2390.38,0.227,0.727,0.904,1,53,0
APP_1167,Male,Under_25,True,698.0,15000.0,0.131,2,40,0.695,0.793,0.973,2730.43,0.04,0.461,0.938,1,41,0
APP_1168,Male,25_50,True,619.0,64092.62,0.283,4,55,0.819,0.736,0.778,9848.85,0.213,0.557,0.809,1,28,0
APP_1169,Female,25_50,True,569.0,37533.97,0.393,0,44,0.819,0.399,0.971,10508.4,0.249,0.565,0.518,1,71,0
APP_1170,Female,25_50,True,568.0,46791.69,0.118,2,38,0.742,0.854,0.811,7079.02,0.058,0.548,0.843,1,27,0
APP_1171,Male,Under_25,False,620.0,27454.54,0.292,1,37,0.838,0.844,0.768,5463.75,0.092,0.683,0.849,0,66,0
APP_1172,Female,Under_25,True,702.0,29134.48,0.184,2,31,0.902,0.896,0.8,6496.11,0.195,0.617,0.906,0,40,0
APP_1173,Male,Over_50,True,724.0,43154.34,0.361,0,48,0.902,0.821,0.897,2363.02,0.082,0.493,0.824,1,46,0
APP_1174,Female,Under_25,True,610.0,18062.07,0.087,0,65,0.851,0.812,0.809,3571.46,0.264,0.396,0.885,0,29,0
APP_1175,Male,25_50,False,558.0,29295.98,0.658,1,23,0.864,0.645,0.83,5258.57,0.092,0.495,0.625,1,80,0
APP_1176,Female,25_50,True,671.0,21681.87,0.314,3,68,0.877,0.878,0.575,4303.9,0.053,0.53,0.799,0,60,0
APP_1177,Male,25_50,True,584.0,21282.89,0.591,3,65,0.835,0.856,0.878,1467.16,0.067,0.702,0.859,2,46,0
APP_1178,Female,25_50,True,609.0,15000.0,0.449,0,54,0.723,0.734,0.784,958.34,0.251,0.469,0.94,1,94,0
APP_1179,Male,25_50,True,756.0,81112.79,0.162,2,27,0.902,0.794,0.79,7655.92,0.426,0.638,0.636,2,28,0
APP_1180,Male,25_50,True,716.0,24054.49,0.41,2,53,0.824,0.744,0.869,6431.57,0.345,0.598,0.703,0,30,0
APP_1181,Male,Under_25,True,663.0,72986.2,0.536,1,42,0.902,0.824,0.868,10153.68,0.209,0.557,0.832,0,53,0
APP_1182,Female,Under_25,True,548.0,68959.55,0.471,2,63,0.729,0.905,0.806,10930.65,0.119,0.39,0.859,1,41,0
APP_1183,Female,25_50,True,667.0,16787.67,0.308,3,34,0.79,0.818,0.942,2476.88,0.118,0.381,0.859,0,30,0
APP_1184,Male,25_50,True,735.0,18900.68,0.15,2,40,0.785,0.747,0.686,4320.55,0.109,0.588,0.758,0,54,0
APP_1185,Female,Over_50,True,620.0,168771.63,0.376,1,35,0.848,0.752,0.68,19386.61,0.119,0.451,0.631,2,32,0
APP_1186,Female,Over_50,True,758.0,103834.71,0.359,1,58,0.885,0.895,0.893,6967.14,0.158,0.455,0.863,1,68,0
APP_1187,Female,25_50,True,753.0,35635.19,0.204,0,60,0.786,0.954,0.818,5150.84,0.329,0.824,0.746,1,93,0
APP_1188,Female,25_50,True,783.0,42379.66,0.111,4,79,0.629,0.697,0.645,9830.34,0.075,0.217,0.95,0,20,0
APP_1189,Male,25_50,True,674.0,24871.86,0.325,1,43,0.762,0.576,0.687,6932.83,0.128,0.979,0.933,0,31,0
APP_1190,Male,25_50,True,697.0,47070.96,0.134,1,17,0.531,0.731,0.4,2951.6,0.102,0.557,0.676,0,33,0
APP_1191,Female,Over_50,True,763.0,23616.26,0.204,2,56,0.905,0.942,0.789,5966.04,0.495,0.459,0.875,0,53,0
APP_1192,Female,25_50,True,686.0,15000.0,0.389,1,29,0.938,0.88,0.862,998.18,0.127,0.583,0.625,0,42,0
APP_1193,Female,25_50,True,610.0,16433.32,0.128,1,41,0.879,0.75,0.769,2180.13,0.131,0.234,0.885,0,90,0
APP_1194,Male,Under_25,True,614.0,36778.02,0.084,3,52,0.834,0.968,0.816,2043.95,0.061,0.791,0.867,1,40,0
APP_1195,Male,25_50,True,669.0,18423.08,0.06,2,41,0.862,0.839,0.906,5119.51,0.25,0.721,0.734,1,45,0
APP_1196,Female,25_50,True,547.0,34878.77,0.349,5,34,0.805,0.595,0.736,7906.92,0.171,0.68,0.861,0,57,0
APP_1197,Female,Over_50,True,639.0,19057.26,0.36,1,47,0.838,0.562,0.898,2711.54,0.113,0.869,0.934,0,32,0
APP_1198,Female,25_50,True,738.0,22710.61,0.213,2,18,0.822,0.681,0.906,3278.6,0.146,0.491,0.902,1,76,0
APP_1199,Female,25_50,True,475.0,60590.85,0.45,0,66,0.823,0.798,0.91,12721.7,0.156,0.347,0.865,1,35,0
APP_1200,Female,Over_50,True,773.0,42128.86,0.232,5,47,0.692,0.784,0.661,3050.64,0.161,0.498,0.566,1,78,0
APP_1201,Male,Under_25,True,740.0,36105.53,0.239,0,36,0.899,0.684,0.818,3114.54,0.213,0.842,0.885,0,47,0
